age,income,spending_score
25,45000,62
35,55000,45
45,65000,55
28,48000,70
52,72000,35
31,51000,68
39,58000,52
43,62000,48
29,49000,65
36,56000,58
41,61000,50
33,53000,60
47,68000,42
26,46000,72
38,57000,54
44,63000,47
30,50000,66
50,70000,38
34,54000,59
42,60000,51
27,47000,69
37,56500,56
46,64000,44
32,52000,63
49,69000,40
24,44000,75
40,59000,53
48,67000,41
23,43000,78
51,71000,36
22,42000,80
53,73000,34
21,41000,82
54,74000,32
20,40000,85
55,75000,30
19,39000,88
56,76000,28
18,38000,90
57,77000,26
58,78000,24
59,79000,22
60,80000,20
61,81000,18
62,82000,16
63,83000,14
64,84000,12
65,85000,10
66,86000,8
67,87000,6
68,88000,4
69,89000,2
70,90000,1
35,55500,46
45,65500,56
28,48500,71
52,72500,36
31,51500,69
39,58500,53
43,62500,49
29,49500,66
36,56500,59
41,61500,52
33,53500,61
47,68500,43
26,46500,73
38,57500,55
44,63500,48
30,50500,67
50,70500,39
34,54500,60
42,60500,52
27,47500,70
37,56750,57
46,64500,45
32,52500,64
49,69500,41
24,44500,76
40,59500,54
48,67500,42
23,43500,79
51,71500,37
22,42500,81
53,73500,35
21,41500,83
54,74500,33
20,40500,86
55,75500,31
19,39500,89
56,76500,29
18,38500,91
57,77500,27
58,78500,25
59,79500,23
60,80500,21
61,81500,19
62,82500,17
63,83500,15
64,84500,13
65,85500,11
66,86500,9
67,87500,7
68,88500,5
69,89500,3
70,90500,2
