transaction_id,customer_id,purchase_amount,product_category,purchase_date
50,4005,27.72,Clothing,2024-02-20
89,2585,16.68,Clothing,2024-01-23
90,4943,95.84,Clothing,2024-03-23
128,1763,135.95,Books,2024-06-17
144,2495,107.85,Clothing,2024-03-23
163,1779,19.09,Clothing,2024-02-13
180,2485,18.74,Clothing,2024-03-28
198,4646,48.96,Clothing,2024-05-04
208,4478,107.55,Books,2024-04-21
301,2707,111.1,Books,2024-01-30
442,4436,76.02,Books,2024-02-26
454,1959,66.87,Clothing,2024-02-05
472,4444,190.5,Clothing,2024-02-02
474,3146,51.01,Clothing,2024-02-22
521,4110,180.23,Clothing,2024-05-03
523,2705,53.64,Clothing,2024-04-07
637,3908,43.59,Clothing,2024-06-18
649,4118,11.3,Clothing,2024-01-27
665,4325,192.82,Clothing,2024-06-07
720,4324,117.92,Clothing,2024-03-10
725,3896,22.61,Clothing,2024-04-04
740,2649,14.98,Clothing,2024-01-27
806,4140,226.27,Books,2024-03-06
820,4764,114.67,Clothing,2024-03-22
851,3681,86.71,Clothing,2024-03-18
899,4072,58.49,Clothing,2024-03-13
919,2852,101.62,Clothing,2024-04-21
940,4584,151.89,Books,2024-02-22
960,2371,41.1,Clothing,2024-03-02
961,3723,148.57,Clothing,2024-03-18
1016,1062,82.88,Books,2024-01-01
1118,1758,116.71,Clothing,2024-04-08
1160,2887,30.73,Books,2024-05-07
1181,3280,45.31,Books,2024-05-02
1188,2753,54.6,Clothing,2024-02-17
1279,3472,8.89,Clothing,2024-01-22
1333,1946,181.75,Clothing,2024-06-22
1374,1260,107.9,Books,2024-02-25
1418,1872,123.76,Clothing,2024-06-11
1472,2646,120.79,Books,2024-03-12
1475,3035,20.53,Clothing,2024-05-19
1491,3645,55.61,Clothing,2024-03-25
1595,4502,25.24,Books,2024-01-26
1640,3203,125.53,Clothing,2024-04-28
1643,4120,57.36,Clothing,2024-05-09
1734,4874,77.54,Clothing,2024-04-09
1774,4070,76.92,Clothing,2024-04-10
1794,2387,19.89,Clothing,2024-05-03
1839,4224,109.99,Clothing,2024-04-20
1907,4315,61.48,Clothing,2024-01-24
1938,4549,76.43,Clothing,2024-05-17
1947,2040,15.31,Clothing,2024-03-08
2007,1401,179.44,Clothing,2024-04-03
2035,1920,50.12,Clothing,2024-06-19
2046,1738,57.63,Clothing,2024-01-12
2075,3973,26.41,Books,2024-03-07
2143,2911,77.86,Books,2024-04-10
2210,1036,152.33,Clothing,2024-04-08
2326,1885,43.44,Books,2024-01-10
2638,4688,227.4,Clothing,2024-02-15
2750,2742,69.14,Clothing,2024-05-22
2847,2310,66.36,Clothing,2024-06-04
2874,4173,39.48,Clothing,2024-01-07
2879,4525,44.24,Books,2024-01-27
2886,2388,74.19,Books,2024-04-08
2896,4147,42.65,Clothing,2024-06-27
2902,3652,1.11,Clothing,2024-06-06
2918,1961,131.44,Books,2024-06-19
2960,3840,206.21,Books,2024-01-12
3041,3199,34.7,Clothing,2024-05-01
3108,2125,65.98,Clothing,2024-03-27
3155,2232,138.37,Clothing,2024-06-02
3291,3880,196.03,Books,2024-04-20
3426,3385,32.06,Clothing,2024-03-21
3441,1628,39.07,Books,2024-05-22
3519,1365,129.54,Clothing,2024-06-26
3528,1562,210.24,Books,2024-03-08
3663,1514,93.19,Clothing,2024-01-15
3672,4438,20.58,Books,2024-02-23
3705,3159,103.79,Clothing,2024-05-27
3743,4225,60.98,Books,2024-05-09
3812,3810,161.23,Clothing,2024-05-26
3882,1640,295.88,Books,2024-01-24
3956,3189,101.94,Clothing,2024-04-14
3957,2336,37.69,Clothing,2024-04-02
3975,1424,245.25,Clothing,2024-03-27
4151,4604,314.41,Books,2024-06-24
4233,1723,43.66,Clothing,2024-03-03
4235,3319,56.9,Clothing,2024-02-12
4320,3331,35.56,Clothing,2024-01-29
4335,1397,155.87,Clothing,2024-05-07
4404,2031,152.8,Clothing,2024-03-01
4424,2573,26.41,Clothing,2024-03-22
4508,2812,107.9,Clothing,2024-01-19
4762,2932,60.07,Clothing,2024-02-22
4776,1761,43.2,Clothing,2024-06-13
4780,1382,21.43,Clothing,2024-05-06
4781,2003,62.46,Clothing,2024-03-12
4791,2303,78.41,Clothing,2024-04-04
4945,3694,72.51,Clothing,2024-02-13
