student_id,college,gpa,year_of_study,enrollment_status
STU00001,Engineering,2.44,3,Full-time
STU00002,Science,3.88,4,Full-time
STU00003,Arts,3.33,3,Full-time
STU00004,Business,3.0,4,Full-time
STU00005,Engineering,1.89,4,Full-time
STU00006,Science,1.89,3,Part-time
STU00007,Arts,1.65,2,Full-time
STU00008,Business,3.67,4,Full-time
STU00009,Engineering,3.0,3,Full-time
STU00010,Science,3.27,1,Part-time
STU00011,Arts,1.55,3,Full-time
STU00012,Business,3.92,1,Part-time
STU00013,Engineering,3.58,4,Full-time
STU00014,Science,2.03,3,Full-time
STU00015,Arts,1.95,3,Full-time
STU00016,Business,1.96,1,Full-time
STU00017,Engineering,2.26,3,Full-time
STU00018,Science,2.81,3,Full-time
STU00019,Arts,2.58,4,Full-time
STU00020,Business,2.23,3,Full-time
STU00021,Engineering,3.03,2,Full-time
STU00022,Science,1.85,1,Full-time
STU00023,Arts,2.23,3,Full-time
STU00024,Business,2.42,1,Full-time
STU00025,Engineering,2.64,1,Full-time
STU00026,Science,3.46,1,Full-time
STU00027,Arts,2.0,3,Full-time
STU00028,Business,2.79,3,Full-time
STU00029,Engineering,2.98,1,Full-time
STU00030,Science,1.62,2,Full-time
STU00031,Arts,3.02,1,Full-time
STU00032,Business,1.93,2,Full-time
STU00033,Engineering,1.66,1,Full-time
STU00034,Science,3.87,4,Full-time
STU00035,Arts,3.91,1,Full-time
STU00036,Business,3.52,1,Full-time
STU00037,Engineering,2.26,3,Full-time
STU00038,Science,1.74,2,Full-time
STU00039,Arts,3.21,4,Full-time
STU00040,Business,2.6,2,Full-time
STU00041,Engineering,1.81,4,Full-time
STU00042,Science,2.74,1,Full-time
STU00043,Arts,1.59,3,Full-time
STU00044,Business,3.77,3,Part-time
STU00045,Engineering,2.15,2,Full-time
STU00046,Science,3.16,3,Full-time
STU00047,Arts,2.28,2,Full-time
STU00048,Business,2.8,2,Full-time
STU00049,Engineering,2.87,4,Full-time
STU00050,Science,1.96,2,Full-time
STU00051,Arts,3.92,4,Part-time
STU00052,Business,3.44,3,Full-time
STU00053,Engineering,3.85,2,Full-time
STU00054,Science,3.74,2,Full-time
STU00055,Arts,2.99,1,Full-time
STU00056,Business,3.8,2,Full-time
STU00057,Engineering,1.72,2,Full-time
STU00058,Science,1.99,1,Full-time
STU00059,Arts,1.61,1,Full-time
STU00060,Business,2.31,3,Full-time
STU00061,Engineering,2.47,2,Full-time
STU00062,Science,2.18,3,Full-time
STU00063,Arts,3.57,3,Full-time
STU00064,Business,2.39,1,Full-time
STU00065,Engineering,2.2,4,Full-time
STU00066,Science,2.86,3,Part-time
STU00067,Arts,1.85,4,Part-time
STU00068,Business,3.51,2,Full-time
STU00069,Engineering,1.69,1,Full-time
STU00070,Science,3.97,2,Full-time
STU00071,Arts,3.43,2,Full-time
STU00072,Business,2.0,1,Full-time
STU00073,Engineering,1.51,2,Full-time
STU00074,Science,3.54,1,Full-time
STU00075,Arts,3.27,4,Full-time
STU00076,Business,3.32,2,Full-time
STU00077,Engineering,3.43,1,Full-time
STU00078,Science,1.69,3,Full-time
STU00079,Arts,2.4,2,Part-time
STU00080,Business,1.79,4,Full-time
STU00081,Engineering,3.66,1,Full-time
STU00082,Science,3.06,2,Full-time
STU00083,Arts,2.33,2,Full-time
STU00084,Business,1.66,2,Full-time
STU00085,Engineering,2.28,4,Full-time
STU00086,Science,2.31,1,Full-time
STU00087,Arts,3.32,3,Full-time
STU00088,Business,3.09,3,Full-time
STU00089,Engineering,3.72,3,Full-time
STU00090,Science,2.68,1,Full-time
STU00091,Arts,1.8,3,Full-time
STU00092,Business,3.28,4,Full-time
STU00093,Engineering,3.4,1,Full-time
STU00094,Science,2.9,2,Part-time
STU00095,Arts,3.43,4,Full-time
STU00096,Business,2.73,2,Part-time
STU00097,Engineering,2.81,3,Full-time
STU00098,Science,2.57,4,Full-time
STU00099,Arts,1.56,1,Part-time
STU00100,Business,1.77,4,Full-time
STU00101,Engineering,1.58,2,Full-time
STU00102,Science,3.09,1,Full-time
STU00103,Arts,2.29,4,Full-time
STU00104,Business,2.77,4,Part-time
STU00105,Engineering,3.77,4,Full-time
STU00106,Science,2.12,4,Full-time
STU00107,Arts,2.53,1,Full-time
STU00108,Business,3.39,2,Full-time
STU00109,Engineering,2.07,4,Full-time
STU00110,Science,1.69,1,Full-time
STU00111,Arts,2.22,2,Full-time
STU00112,Business,1.9,4,Full-time
STU00113,Engineering,3.82,2,Part-time
STU00114,Science,3.52,2,Full-time
STU00115,Arts,3.08,1,Full-time
STU00116,Business,3.68,2,Full-time
STU00117,Engineering,3.51,1,Full-time
STU00118,Science,1.97,4,Full-time
STU00119,Arts,3.73,2,Part-time
STU00120,Business,2.85,2,Full-time
STU00121,Engineering,3.52,3,Part-time
STU00122,Science,3.74,4,Full-time
STU00123,Arts,2.3,4,Full-time
STU00124,Business,1.78,3,Full-time
STU00125,Engineering,2.07,3,Full-time
STU00126,Science,2.57,1,Full-time
STU00127,Arts,3.55,1,Part-time
STU00128,Business,3.65,2,Full-time
STU00129,Engineering,1.52,2,Part-time
STU00130,Science,2.78,2,Full-time
STU00131,Arts,2.54,2,Full-time
STU00132,Business,2.06,1,Full-time
STU00133,Engineering,1.8,4,Full-time
STU00134,Science,2.34,2,Part-time
STU00135,Arts,3.86,4,Full-time
STU00136,Business,2.31,2,Full-time
STU00137,Engineering,2.8,3,Full-time
STU00138,Science,3.26,2,Full-time
STU00139,Arts,2.41,2,Full-time
STU00140,Business,3.93,2,Full-time
STU00141,Engineering,3.91,1,Full-time
STU00142,Science,2.13,3,Full-time
STU00143,Arts,2.74,2,Full-time
STU00144,Business,2.25,2,Full-time
STU00145,Engineering,2.21,4,Full-time
STU00146,Science,1.59,3,Full-time
STU00147,Arts,3.02,2,Full-time
STU00148,Business,2.76,4,Full-time
STU00149,Engineering,1.63,4,Full-time
STU00150,Science,2.2,1,Full-time
STU00151,Arts,3.77,4,Full-time
STU00152,Business,2.1,2,Full-time
STU00153,Engineering,1.86,1,Full-time
STU00154,Science,2.72,1,Full-time
STU00155,Arts,3.96,2,Full-time
STU00156,Business,2.11,3,Full-time
STU00157,Engineering,3.18,4,Full-time
STU00158,Science,3.4,1,Full-time
STU00159,Arts,2.09,3,Full-time
STU00160,Business,3.32,2,Full-time
STU00161,Engineering,2.42,4,Full-time
STU00162,Science,3.08,4,Full-time
STU00163,Arts,3.08,1,Full-time
STU00164,Business,2.84,4,Full-time
STU00165,Engineering,1.73,4,Full-time
STU00166,Science,3.59,4,Full-time
STU00167,Arts,2.3,4,Full-time
STU00168,Business,1.97,2,Full-time
STU00169,Engineering,1.6,3,Part-time
STU00170,Science,2.98,2,Full-time
STU00171,Arts,3.19,2,Full-time
STU00172,Business,1.54,1,Full-time
STU00173,Engineering,2.78,4,Part-time
STU00174,Science,2.07,2,Full-time
STU00175,Arts,3.11,4,Full-time
STU00176,Business,1.94,2,Full-time
STU00177,Engineering,3.23,2,Full-time
STU00178,Science,2.47,1,Part-time
STU00179,Arts,3.84,3,Full-time
STU00180,Business,1.84,3,Full-time
STU00181,Engineering,2.35,2,Part-time
STU00182,Science,1.78,1,Full-time
STU00183,Arts,3.81,4,Full-time
STU00184,Business,3.69,4,Full-time
STU00185,Engineering,2.14,2,Full-time
STU00186,Science,3.15,3,Full-time
STU00187,Arts,3.54,1,Full-time
STU00188,Business,2.89,3,Full-time
STU00189,Engineering,2.82,4,Full-time
STU00190,Science,2.1,3,Full-time
STU00191,Arts,1.73,4,Full-time
STU00192,Business,3.74,1,Part-time
STU00193,Engineering,3.75,1,Full-time
