student_id,college,gpa,year_of_study,enrollment_status
STU02751,Arts,2.47,1,Full-time
STU02043,Arts,2.81,1,Full-time
STU03139,Arts,2.8,1,Full-time
STU00187,Arts,3.54,1,Full-time
STU01667,Arts,2.02,1,Part-time
STU01847,Arts,1.8,1,Full-time
STU04067,Arts,1.81,1,Full-time
STU02539,Arts,3.38,1,Full-time
STU03639,Arts,2.23,1,Full-time
STU04875,Arts,2.25,1,Part-time
STU03135,Arts,2.0,1,Full-time
STU01431,Arts,2.64,1,Full-time
STU04423,Arts,3.0,1,Full-time
STU01339,Arts,1.68,1,Part-time
STU02999,Arts,2.23,1,Full-time
STU04243,Arts,3.39,1,Full-time
STU01963,Arts,3.6,1,Full-time
STU01255,Arts,3.21,1,Part-time
STU00459,Arts,1.64,1,Full-time
STU00107,Arts,2.53,1,Full-time
STU03323,Arts,3.42,1,Part-time
STU00839,Arts,2.95,1,Full-time
STU00731,Arts,1.91,1,Full-time
STU04783,Arts,2.89,1,Full-time
STU04703,Arts,3.16,1,Full-time
STU01791,Arts,1.88,1,Full-time
STU00907,Arts,3.54,1,Full-time
STU01211,Arts,2.57,1,Full-time
STU03119,Arts,2.12,1,Full-time
STU04051,Arts,3.84,1,Full-time
STU01707,Arts,3.1,1,Full-time
STU03411,Arts,2.53,1,Full-time
STU01011,Arts,2.05,1,Full-time
STU03415,Arts,3.46,1,Part-time
STU03959,Arts,1.63,1,Part-time
STU02743,Arts,1.99,1,Full-time
STU04587,Arts,2.48,1,Full-time
STU00595,Arts,3.74,1,Full-time
STU02211,Arts,3.38,1,Full-time
STU02635,Arts,3.28,1,Full-time
STU04735,Arts,2.58,1,Full-time
STU00667,Arts,2.11,1,Full-time
STU04819,Arts,3.72,1,Full-time
STU04947,Arts,3.06,1,Full-time
STU00723,Arts,1.67,1,Full-time
STU04727,Arts,3.79,1,Full-time
STU01315,Arts,2.63,1,Full-time
STU01527,Arts,2.21,1,Full-time
STU00315,Arts,3.59,1,Full-time
STU01171,Arts,3.04,1,Part-time
STU01479,Arts,3.49,1,Full-time
STU00127,Arts,3.55,1,Part-time
STU02875,Arts,3.45,1,Part-time
STU01195,Arts,1.61,1,Full-time
STU04519,Arts,1.99,1,Full-time
STU04447,Arts,1.95,1,Full-time
STU04915,Arts,1.92,1,Full-time
STU00059,Arts,1.61,1,Full-time
STU03631,Arts,3.38,1,Full-time
STU01815,Arts,1.71,1,Full-time
STU03683,Arts,3.43,1,Full-time
STU00975,Arts,1.58,1,Part-time
STU03915,Arts,3.91,1,Full-time
STU04103,Arts,2.87,1,Part-time
STU01839,Arts,3.82,1,Full-time
STU02959,Arts,2.19,1,Full-time
STU00323,Arts,3.15,1,Full-time
STU00431,Arts,1.86,1,Full-time
STU02819,Arts,1.52,1,Full-time
STU01747,Arts,1.55,1,Full-time
STU01119,Arts,2.16,1,Full-time
STU01627,Arts,2.0,1,Full-time
STU02123,Arts,3.92,1,Full-time
STU04043,Arts,2.67,1,Full-time
STU04275,Arts,3.0,1,Part-time
STU01775,Arts,3.47,1,Full-time
STU03499,Arts,1.99,1,Full-time
STU04971,Arts,2.69,1,Full-time
STU03923,Arts,3.46,1,Part-time
STU00587,Arts,1.69,1,Part-time
STU04235,Arts,1.55,1,Full-time
STU02683,Arts,1.54,1,Full-time
STU02327,Arts,3.55,1,Full-time
STU03555,Arts,1.86,1,Part-time
STU03659,Arts,3.04,1,Full-time
STU02147,Arts,2.65,1,Full-time
