student_id,college,gpa,year_of_study,enrollment_status
STU00532,Business,4.0,1,Full-time
STU01465,Engineering,4.0,1,Full-time
STU01955,Arts,4.0,1,Part-time
STU03403,Arts,4.0,3,Full-time
STU03650,Science,4.0,2,Part-time
STU00533,Engineering,3.99,3,Full-time
STU00848,Business,3.99,2,Full-time
STU01055,Arts,3.99,1,Full-time
STU01105,Engineering,3.99,3,Full-time
STU01210,Science,3.99,4,Full-time
STU01334,Science,3.99,2,Full-time
STU01617,Engineering,3.99,2,Full-time
STU01716,Business,3.99,3,Full-time
STU01728,Business,3.99,4,Part-time
STU01913,Engineering,3.99,2,Full-time
STU02244,Business,3.99,4,Full-time
STU02530,Science,3.99,4,Full-time
STU02790,Science,3.99,4,Full-time
STU03302,Science,3.99,3,Full-time
STU03396,Business,3.99,1,Full-time
STU03408,Business,3.99,2,Full-time
STU03444,Business,3.99,3,Full-time
STU03503,Arts,3.99,2,Full-time
STU04176,Business,3.99,2,Full-time
STU04257,Engineering,3.99,2,Full-time
STU04463,Arts,3.99,1,Full-time
STU04560,Business,3.99,1,Full-time
STU04718,Science,3.99,3,Full-time
STU04744,Business,3.99,4,Part-time
STU00262,Science,3.98,2,Full-time
STU00391,Arts,3.98,1,Full-time
STU00476,Business,3.98,2,Full-time
STU01089,Engineering,3.98,4,Full-time
STU01592,Business,3.98,1,Full-time
STU01639,Arts,3.98,2,Full-time
STU01665,Engineering,3.98,2,Part-time
STU01890,Science,3.98,4,Full-time
STU02315,Arts,3.98,3,Part-time
STU02461,Engineering,3.98,3,Full-time
STU02737,Engineering,3.98,3,Full-time
STU02837,Engineering,3.98,2,Full-time
STU03432,Business,3.98,2,Full-time
STU03715,Arts,3.98,2,Full-time
STU03925,Engineering,3.98,3,Full-time
STU04034,Science,3.98,1,Full-time
STU04060,Business,3.98,3,Full-time
STU04439,Arts,3.98,3,Full-time
STU04472,Business,3.98,1,Full-time
STU04766,Science,3.98,1,Full-time
STU00070,Science,3.97,2,Full-time
STU00442,Science,3.97,2,Full-time
STU00447,Arts,3.97,2,Full-time
STU00500,Business,3.97,2,Full-time
STU00519,Arts,3.97,3,Full-time
STU00662,Science,3.97,4,Full-time
STU00706,Science,3.97,2,Full-time
STU01012,Business,3.97,3,Full-time
STU01075,Arts,3.97,4,Part-time
STU01278,Science,3.97,2,Full-time
STU01349,Engineering,3.97,1,Full-time
STU01425,Engineering,3.97,2,Full-time
STU01585,Engineering,3.97,4,Full-time
STU02409,Engineering,3.97,3,Full-time
STU03574,Science,3.97,2,Full-time
STU04036,Business,3.97,3,Part-time
STU04172,Business,3.97,1,Full-time
STU04405,Engineering,3.97,2,Full-time
STU04760,Business,3.97,3,Full-time
STU04762,Science,3.97,2,Full-time
STU00155,Arts,3.96,2,Full-time
STU00676,Business,3.96,1,Full-time
STU00811,Arts,3.96,4,Full-time
STU00933,Engineering,3.96,4,Full-time
STU01062,Science,3.96,3,Part-time
STU01229,Engineering,3.96,3,Full-time
STU01719,Arts,3.96,2,Full-time
STU01865,Engineering,3.96,1,Full-time
STU02079,Arts,3.96,3,Full-time
STU02110,Science,3.96,1,Full-time
STU02125,Engineering,3.96,1,Full-time
STU02433,Engineering,3.96,2,Full-time
STU02928,Business,3.96,3,Full-time
STU03804,Business,3.96,4,Full-time
STU04328,Business,3.96,3,Part-time
STU04700,Business,3.96,3,Full-time
STU00582,Science,3.95,2,Full-time
STU01172,Business,3.95,1,Full-time
STU01831,Arts,3.95,3,Full-time
STU02028,Business,3.95,1,Full-time
STU02166,Science,3.95,4,Full-time
STU02486,Science,3.95,3,Full-time
STU02499,Arts,3.95,4,Full-time
STU02577,Engineering,3.95,1,Full-time
STU02783,Arts,3.95,1,Part-time
STU02792,Business,3.95,2,Full-time
STU02799,Arts,3.95,2,Full-time
STU02964,Business,3.95,1,Part-time
STU03038,Science,3.95,1,Full-time
STU03445,Engineering,3.95,3,Full-time
STU03790,Science,3.95,1,Full-time
STU03914,Science,3.95,3,Full-time
STU04068,Business,3.95,1,Full-time
STU04446,Science,3.95,4,Full-time
STU04851,Arts,3.95,4,Full-time
STU00306,Science,3.94,3,Full-time
STU00499,Arts,3.94,4,Part-time
STU01325,Engineering,3.94,3,Part-time
STU01335,Arts,3.94,3,Part-time
STU01467,Arts,3.94,2,Full-time
STU01682,Science,3.94,2,Full-time
STU01755,Arts,3.94,1,Full-time
STU02201,Engineering,3.94,2,Full-time
STU02702,Science,3.94,3,Full-time
STU02718,Science,3.94,1,Full-time
STU02806,Science,3.94,2,Full-time
STU03097,Engineering,3.94,2,Full-time
STU03513,Engineering,3.94,1,Part-time
STU03953,Engineering,3.94,3,Full-time
STU04037,Engineering,3.94,3,Part-time
STU04579,Arts,3.94,1,Full-time
STU04690,Science,3.94,3,Full-time
STU04981,Engineering,3.94,4,Full-time
STU04991,Arts,3.94,4,Full-time
STU00140,Business,3.93,2,Full-time
STU00227,Arts,3.93,4,Full-time
STU01024,Business,3.93,1,Full-time
STU01197,Engineering,3.93,1,Part-time
STU01371,Arts,3.93,3,Part-time
STU02034,Science,3.93,4,Full-time
STU02287,Arts,3.93,1,Full-time
STU02907,Arts,3.93,2,Full-time
STU02980,Business,3.93,1,Full-time
STU03042,Science,3.93,4,Full-time
STU03507,Arts,3.93,3,Full-time
STU03527,Arts,3.93,3,Full-time
STU03847,Arts,3.93,4,Part-time
STU03971,Arts,3.93,3,Full-time
STU04315,Arts,3.93,3,Full-time
STU00012,Business,3.92,1,Part-time
STU00051,Arts,3.92,4,Part-time
STU00248,Business,3.92,2,Full-time
STU00472,Business,3.92,1,Full-time
STU00479,Arts,3.92,3,Full-time
STU00523,Arts,3.92,3,Full-time
STU00679,Arts,3.92,1,Full-time
STU01102,Science,3.92,3,Full-time
STU01198,Science,3.92,2,Full-time
STU01239,Arts,3.92,4,Full-time
STU01383,Arts,3.92,4,Full-time
STU01389,Engineering,3.92,3,Full-time
STU01441,Engineering,3.92,1,Full-time
STU01816,Business,3.92,3,Full-time
STU01828,Business,3.92,3,Full-time
STU02123,Arts,3.92,1,Full-time
STU02452,Business,3.92,1,Full-time
